GreyCount,IMG_MIR_TEMP
0,339.78748
1,339.78748
2,339.78748
3,339.78748
4,339.78748
5,339.78748
6,339.78748
7,339.78748
8,339.78748
9,339.78748
10,339.78748
11,339.78748
12,339.78748
13,339.78748
14,339.78748
15,339.78748
16,339.78748
17,339.78748
18,339.78748
19,339.78748
20,339.78748
21,339.78748
22,339.78748
23,339.78748
24,339.78748
25,339.78748
26,339.78748
27,339.78748
28,339.78748
29,339.78748
30,339.78748
31,339.78748
32,339.78748
33,339.78748
34,339.78748
35,339.78748
36,339.78748
37,339.78748
38,339.78748
39,339.78748
40,339.78748
41,339.78748
42,339.78748
43,339.78748
44,339.78748
45,339.78748
46,339.78748
47,339.78748
48,339.78748
49,339.78748
50,339.78748
51,339.78748
52,339.78748
53,339.78748
54,339.78748
55,339.78748
56,339.78748
57,339.78748
58,339.78748
59,339.78748
60,339.78748
61,339.78748
62,339.78748
63,339.78748
64,339.78748
65,339.78748
66,339.78748
67,339.78748
68,339.78748
69,339.78748
70,339.78748
71,339.78748
72,339.78748
73,339.78748
74,339.78748
75,339.78748
76,339.78748
77,339.78748
78,339.78748
79,339.78748
80,339.78748
81,339.78748
82,339.78748
83,339.78748
84,339.78748
85,339.78748
86,339.78748
87,339.78748
88,339.78748
89,339.78748
90,339.78748
91,339.78748
92,339.78748
93,339.78748
94,339.78748
95,339.78748
96,339.78748
97,339.78748
98,339.78748
99,339.78748
100,339.78748
101,339.78748
102,339.78748
103,339.78748
104,339.78748
105,339.78748
106,339.78748
107,339.78748
108,339.78748
109,339.78748
110,339.78748
111,339.78748
112,339.78748
113,339.78748
114,339.78748
115,339.78748
116,339.78748
117,339.78748
118,339.78748
119,339.78748
120,339.78748
121,339.78748
122,339.78748
123,339.78748
124,339.78748
125,339.78748
126,339.78748
127,339.78748
128,339.78748
129,339.78748
130,339.78748
131,339.78748
132,339.78748
133,339.78748
134,339.78748
135,339.78748
136,339.78748
137,339.78748
138,339.78748
139,339.78748
140,339.78748
141,339.78748
142,339.78748
143,339.78748
144,339.78748
145,339.78748
146,339.78748
147,339.78748
148,339.78748
149,339.78748
150,339.78748
151,339.78748
152,339.78748
153,339.78748
154,339.78748
155,339.78748
156,339.78748
157,339.78748
158,339.78748
159,339.78748
160,339.78748
161,339.78748
162,339.78748
163,339.78748
164,339.78748
165,339.78748
166,339.78748
167,339.78748
168,339.78748
169,339.78748
170,339.78748
171,339.78748
172,339.78748
173,339.78748
174,339.78748
175,339.78748
176,339.78748
177,339.78748
178,339.78748
179,339.78748
180,339.78748
181,339.78748
182,339.78748
183,339.78748
184,339.78748
185,339.78748
186,339.78748
187,339.78748
188,339.78748
189,339.78748
190,339.78748
191,339.78748
192,339.78748
193,339.78748
194,339.78748
195,339.78748
196,339.78748
197,339.78748
198,339.78748
199,339.78748
200,339.78748
201,339.78748
202,339.78748
203,339.78748
204,339.78748
205,339.78748
206,339.78748
207,339.78748
208,339.78748
209,339.78748
210,339.78748
211,339.78748
212,339.78748
213,339.78748
214,339.78748
215,339.78748
216,339.78748
217,339.78748
218,339.78748
219,339.78748
220,339.78748
221,339.78748
222,339.78748
223,339.78748
224,339.78748
225,339.78748
226,339.78748
227,339.78748
228,339.78748
229,339.78748
230,339.77185
231,339.7301
232,339.68832
233,339.6465
234,339.60464
235,339.5627
236,339.52075
237,339.47876
238,339.4367
239,339.3946
240,339.35245
241,339.31027
242,339.26804
243,339.22574
244,339.1834
245,339.14105
246,339.09863
247,339.05615
248,339.01364
249,338.97107
250,338.92847
251,338.8858
252,338.84308
253,338.80032
254,338.75754
255,338.7147
256,338.67178
257,338.62885
258,338.58585
259,338.5428
260,338.4997
261,338.45654
262,338.41336
263,338.37012
264,338.32684
265,338.2835
266,338.2401
267,338.1967
268,338.1532
269,338.10965
270,338.06607
271,338.02243
272,337.97876
273,337.93503
274,337.89124
275,337.8474
276,337.80353
277,337.75958
278,337.71558
279,337.67154
280,337.62747
281,337.5833
282,337.53912
283,337.49487
284,337.4506
285,337.40625
286,337.36185
287,337.31738
288,337.2729
289,337.22833
290,337.18372
291,337.13907
292,337.09436
293,337.0496
294,337.00476
295,336.9599
296,336.91498
297,336.87
298,336.82495
299,336.77988
300,336.7347
301,336.6895
302,336.6443
303,336.59897
304,336.55362
305,336.5082
306,336.46274
307,336.4172
308,336.37164
309,336.32602
310,336.2803
311,336.2346
312,336.18878
313,336.1429
314,336.09702
315,336.05106
316,336.005
317,335.95895
318,335.9128
319,335.8666
320,335.82037
321,335.77405
322,335.7277
323,335.68127
324,335.6348
325,335.58826
326,335.54166
327,335.495
328,335.4483
329,335.40152
330,335.3547
331,335.3078
332,335.26086
333,335.21387
334,335.1668
335,335.11966
336,335.07248
337,335.02524
338,334.97794
339,334.93057
340,334.88315
341,334.8357
342,334.78815
343,334.74054
344,334.69287
345,334.64514
346,334.59735
347,334.5495
348,334.5016
349,334.4536
350,334.40558
351,334.35748
352,334.30933
353,334.2611
354,334.21283
355,334.1645
356,334.1161
357,334.0676
358,334.01907
359,333.97046
360,333.9218
361,333.87308
362,333.82428
363,333.77542
364,333.7265
365,333.67752
366,333.62848
367,333.57935
368,333.53018
369,333.48093
370,333.4316
371,333.38223
372,333.3328
373,333.2833
374,333.2337
375,333.18408
376,333.13437
377,333.0846
378,333.03473
379,332.98483
380,332.93484
381,332.8848
382,332.8347
383,332.7845
384,332.73425
385,332.68393
386,332.6335
387,332.58307
388,332.53253
389,332.48193
390,332.43127
391,332.38052
392,332.3297
393,332.27884
394,332.2279
395,332.17688
396,332.12576
397,332.07462
398,332.02338
399,331.97208
400,331.9207
401,331.86923
402,331.81772
403,331.7661
404,331.71445
405,331.6627
406,331.6109
407,331.559
408,331.50702
409,331.455
410,331.4029
411,331.3507
412,331.29843
413,331.2461
414,331.1937
415,331.1412
416,331.08862
417,331.03598
418,330.98328
419,330.93048
420,330.8776
421,330.82465
422,330.77164
423,330.71854
424,330.66534
425,330.6121
426,330.55875
427,330.50534
428,330.45184
429,330.3983
430,330.34464
431,330.2909
432,330.2371
433,330.1832
434,330.1292
435,330.07516
436,330.02103
437,329.96683
438,329.9125
439,329.85812
440,329.80368
441,329.74915
442,329.69452
443,329.6398
444,329.585
445,329.53012
446,329.47516
447,329.42014
448,329.365
449,329.30978
450,329.2545
451,329.1991
452,329.14365
453,329.08807
454,329.03244
455,328.9767
456,328.9209
457,328.865
458,328.80902
459,328.75293
460,328.69678
461,328.6405
462,328.58417
463,328.52774
464,328.47122
465,328.4146
466,328.3579
467,328.30112
468,328.24426
469,328.1873
470,328.13022
471,328.07306
472,328.0158
473,327.9585
474,327.90106
475,327.84354
476,327.78592
477,327.7282
478,327.6704
479,327.61252
480,327.55453
481,327.49643
482,327.43826
483,327.37997
484,327.3216
485,327.26315
486,327.20456
487,327.1459
488,327.08716
489,327.0283
490,326.96933
491,326.91028
492,326.85114
493,326.79187
494,326.73254
495,326.67307
496,326.61353
497,326.55386
498,326.4941
499,326.43427
500,326.3743
501,326.31424
502,326.2541
503,326.19382
504,326.13345
505,326.073
506,326.01242
507,325.95172
508,325.89096
509,325.83005
510,325.76907
511,325.70795
512,325.64676
513,325.58542
514,325.52402
515,325.46246
516,325.40085
517,325.33908
518,325.27722
519,325.21527
520,325.1532
521,325.091
522,325.0287
523,324.96628
524,324.90378
525,324.84113
526,324.77838
527,324.7155
528,324.65256
529,324.58945
530,324.52625
531,324.46295
532,324.3995
533,324.33597
534,324.27228
535,324.2085
536,324.1446
537,324.0806
538,324.01645
539,323.9522
540,323.88782
541,323.82333
542,323.75873
543,323.69397
544,323.62912
545,323.56415
546,323.49905
547,323.4338
548,323.36847
549,323.303
550,323.2374
551,323.1717
552,323.10583
553,323.03986
554,322.97375
555,322.90753
556,322.8412
557,322.7747
558,322.7081
559,322.64136
560,322.57446
561,322.50748
562,322.44034
563,322.37308
564,322.3057
565,322.23816
566,322.1705
567,322.1027
568,322.03476
569,321.9667
570,321.8985
571,321.83017
572,321.7617
573,321.69305
574,321.62433
575,321.55542
576,321.4864
577,321.41724
578,321.34793
579,321.27847
580,321.20886
581,321.13913
582,321.06924
583,320.99924
584,320.92908
585,320.85873
586,320.7883
587,320.71768
588,320.64694
589,320.57602
590,320.50497
591,320.43378
592,320.36243
593,320.29092
594,320.21927
595,320.14746
596,320.0755
597,320.0034
598,319.93112
599,319.8587
600,319.78613
601,319.71338
602,319.6405
603,319.56744
604,319.49423
605,319.42087
606,319.34735
607,319.27365
608,319.1998
609,319.12576
610,319.0516
611,318.97726
612,318.90274
613,318.82806
614,318.75323
615,318.67822
616,318.60303
617,318.52768
618,318.45215
619,318.37646
620,318.3006
621,318.22458
622,318.14835
623,318.07196
624,317.99542
625,317.91867
626,317.84177
627,317.76465
628,317.68738
629,317.60992
630,317.5323
631,317.45447
632,317.3765
633,317.2983
634,317.21994
635,317.14136
636,317.06262
637,316.9837
638,316.90457
639,316.82526
640,316.74576
641,316.66608
642,316.58618
643,316.5061
644,316.42584
645,316.34537
646,316.26468
647,316.1838
648,316.10275
649,316.02148
650,315.94
651,315.85834
652,315.77646
653,315.69437
654,315.6121
655,315.5296
656,315.4469
657,315.36398
658,315.28085
659,315.1975
660,315.11395
661,315.03018
662,314.94623
663,314.862
664,314.7776
665,314.69296
666,314.6081
667,314.523
668,314.4377
669,314.35217
670,314.26642
671,314.18045
672,314.09424
673,314.00778
674,313.9211
675,313.83423
676,313.74707
677,313.6597
678,313.57208
679,313.48422
680,313.39615
681,313.3078
682,313.21924
683,313.1304
684,313.04135
685,312.95203
686,312.86246
687,312.77264
688,312.6826
689,312.59225
690,312.50168
691,312.41086
692,312.31976
693,312.2284
694,312.13678
695,312.04492
696,311.95276
697,311.86035
698,311.76767
699,311.6747
700,311.5815
701,311.488
702,311.39423
703,311.3002
704,311.20587
705,311.11124
706,311.01636
707,310.92117
708,310.8257
709,310.72995
710,310.6339
711,310.53757
712,310.44095
713,310.344
714,310.24677
715,310.14923
716,310.05142
717,309.95328
718,309.85483
719,309.75607
720,309.657
721,309.55762
722,309.45792
723,309.3579
724,309.25757
725,309.15692
726,309.05594
727,308.95462
728,308.85297
729,308.751
730,308.6487
731,308.54605
732,308.44305
733,308.33975
734,308.23605
735,308.13205
736,308.02768
737,307.92294
738,307.81787
739,307.71243
740,307.60666
741,307.5005
742,307.39398
743,307.28708
744,307.1798
745,307.07217
746,306.96414
747,306.85574
748,306.74698
749,306.63782
750,306.52826
751,306.4183
752,306.30795
753,306.1972
754,306.08606
755,305.97452
756,305.86255
757,305.75018
758,305.6374
759,305.5242
760,305.41055
761,305.2965
762,305.182
763,305.0671
764,304.95175
765,304.83597
766,304.71973
767,304.60303
768,304.4859
769,304.3683
770,304.25024
771,304.1317
772,304.01276
773,303.89328
774,303.77335
775,303.65295
776,303.53204
777,303.41068
778,303.2888
779,303.1664
780,303.04352
781,302.92014
782,302.79623
783,302.67184
784,302.5469
785,302.42145
786,302.29544
787,302.1689
788,302.04187
789,301.91425
790,301.78607
791,301.65735
792,301.52808
793,301.39822
794,301.26782
795,301.1368
796,301.00522
797,300.87305
798,300.74026
799,300.6069
800,300.47293
801,300.33832
802,300.20312
803,300.06726
804,299.9308
805,299.79367
806,299.6559
807,299.51752
808,299.37845
809,299.2387
810,299.09827
811,298.95718
812,298.8154
813,298.6729
814,298.52972
815,298.38583
816,298.2412
817,298.09586
818,297.9498
819,297.80295
820,297.6554
821,297.50705
822,297.35794
823,297.20804
824,297.05737
825,296.9059
826,296.75363
827,296.60052
828,296.44662
829,296.29187
830,296.13626
831,295.9798
832,295.82248
833,295.66428
834,295.5052
835,295.3452
836,295.1843
837,295.0225
838,294.85974
839,294.69604
840,294.53137
841,294.36575
842,294.19916
843,294.03156
844,293.86295
845,293.6933
846,293.5226
847,293.3509
848,293.1781
849,293.00424
850,292.82928
851,292.6532
852,292.476
853,292.29767
854,292.11816
855,291.9375
856,291.75565
857,291.57257
858,291.38828
859,291.20273
860,291.0159
861,290.82782
862,290.63843
863,290.4477
864,290.25565
865,290.06223
866,289.8674
867,289.67117
868,289.4735
869,289.2744
870,289.07382
871,288.87173
872,288.66812
873,288.46295
874,288.25623
875,288.04785
876,287.8379
877,287.62622
878,287.41287
879,287.1978
880,286.98102
881,286.76242
882,286.542
883,286.31973
884,286.09558
885,285.86948
886,285.64145
887,285.41144
888,285.17935
889,284.94522
890,284.70898
891,284.47058
892,284.22995
893,283.9871
894,283.74194
895,283.49445
896,283.24457
897,282.99225
898,282.73743
899,282.48004
900,282.22006
901,281.9574
902,281.69202
903,281.42386
904,281.15283
905,280.87888
906,280.60196
907,280.32193
908,280.0388
909,279.7524
910,279.46274
911,279.16968
912,278.87317
913,278.57306
914,278.2693
915,277.96176
916,277.6504
917,277.33502
918,277.01556
919,276.6919
920,276.36392
921,276.0315
922,275.69446
923,275.3527
924,275.00604
925,274.65436
926,274.2975
927,273.93524
928,273.56744
929,273.19388
930,272.8144
931,272.42877
932,272.03674
933,271.63812
934,271.23264
935,270.82004
936,270.40002
937,269.97232
938,269.5366
939,269.09253
940,268.63974
941,268.17786
942,267.70648
943,267.2252
944,266.73346
945,266.23083
946,265.71677
947,265.19064
948,264.65186
949,264.0997
950,263.53345
951,262.95227
952,262.35532
953,261.74158
954,261.11002
955,260.45947
956,259.78864
957,259.0961
958,258.38025
959,257.63928
960,256.87125
961,256.07388
962,255.24464
963,254.3806
964,253.47842
965,252.53426
966,251.54361
967,250.50119
968,249.40076
969,248.23482
970,246.99428
971,245.66792
972,244.24179
973,242.69803
974,241.0134
975,239.15672
976,237.08488
977,234.73552
978,232.01335
979,228.76149
980,224.69156
981,219.1711
982,210.23878
983,179.69302
984,179.69302
985,179.69302
986,179.69302
987,179.69302
988,179.69302
989,179.69302
990,179.69302
991,179.69302
992,179.69302
993,179.69302
994,179.69302
995,179.69302
996,179.69302
997,179.69302
998,179.69302
999,179.69302
1000,179.69302
1001,179.69302
1002,179.69302
1003,179.69302
1004,179.69302
1005,179.69302
1006,179.69302
1007,179.69302
1008,179.69302
1009,179.69302
1010,179.69302
1011,179.69302
1012,179.69302
1013,179.69302
1014,179.69302
1015,179.69302
1016,179.69302
1017,179.69302
1018,179.69302
1019,179.69302
1020,179.69302
1021,179.69302
1022,179.69302
1023,179.69302
